trace                      budget      sel resident  recall jaccard   WS@16   pred sink/loc
q15_qa_needle_16k_b64        6.2% per_head    26.6%   0.924   0.592   63.7%  0.684     5.9%
q15_qa_needle_16k_b64        6.2%   shared     6.2%   0.862   0.551   20.8%  0.643    19.7%
q15_qa_needle_16k_b64       12.5% per_head    45.7%   0.958   0.683   82.6%  0.789     3.4%
q15_qa_needle_16k_b64       12.5%   shared    12.5%   0.893   0.572   36.5%  0.645    10.7%
q15_qa_needle_16k_b64       25.0% per_head    70.0%   0.984   0.805   95.4%  0.881     2.2%
q15_qa_needle_16k_b64       25.0%   shared    25.0%   0.930   0.633   58.0%  0.702     5.8%

q15_summarize_16k_b64        1.6% per_head     5.4%   0.809   0.518   17.3%  0.669    28.2%
q15_summarize_16k_b64        1.6%   shared     1.6%   0.761   0.770    3.2%  0.804    67.8%
q15_summarize_16k_b64        6.2% per_head    24.9%   0.904   0.626   53.2%  0.722     7.3%
q15_summarize_16k_b64        6.2%   shared     6.3%   0.830   0.630   14.9%  0.696    22.1%
q15_summarize_16k_b64       12.5% per_head    43.3%   0.946   0.706   73.5%  0.796     4.4%
q15_summarize_16k_b64       12.5%   shared    12.5%   0.872   0.659   27.1%  0.735    12.4%
q15_summarize_16k_b64       25.0% per_head    67.6%   0.979   0.814   90.8%  0.881     2.9%
q15_summarize_16k_b64       25.0%   shared    25.1%   0.917   0.705   47.2%  0.750     6.9%

wrote results/e1a_analysis.json
